% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
183 +9.192929464e+00 +9.192929464e+00 +1.413729295e+02 +1.321800000e+02 -4.7173e+00 +7.4786e-01
274 +5.341098330e+00 +5.341098330e+00 +1.375210983e+02 +1.321800000e+02 -3.6839e+00 +2.1193e+00
543 +2.349451493e+00 +2.349451493e+00 +1.345294515e+02 +1.321800000e+02 -3.6839e+00 +1.1634e+00
2452 +1.061066338e+00 +1.061066338e+00 +1.332410663e+02 +1.321800000e+02 -3.7270e+00 +1.4616e+00
3743 +2.779647962e-01 +2.779647962e-01 +1.324579648e+02 +1.321800000e+02 -3.7270e+00 +1.4882e+00
5347 +2.631592045e-02 +2.631592045e-02 +1.322063159e+02 +1.321800000e+02 -3.7539e+00 +1.4806e+00
14246 +2.436538358e-02 +2.436538358e-02 +1.322043654e+02 +1.321800000e+02 -3.7539e+00 +1.4810e+00
14513 +4.441578164e-03 +4.441578164e-03 +1.321844416e+02 +1.321800000e+02 -3.7624e+00 +1.4810e+00
15518 +2.432232445e-03 +2.432232445e-03 +1.321824322e+02 +1.321800000e+02 -3.7624e+00 +1.4814e+00
61103 +7.530667742e-05 +7.530667742e-05 +1.321800753e+02 +1.321800000e+02 -3.7645e+00 +1.4825e+00
106824 +2.329160097e-05 +2.329160097e-05 +1.321800233e+02 +1.321800000e+02 -3.7640e+00 +1.4825e+00
% function evaluation | noise-free fitness - Fopt (-4.174000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.110440752e+02 +9.110440752e+02 +8.693040752e+02 -4.174000000e+01 -8.6250e-01 +2.9698e+00
185 +5.107629753e+00 +5.107629753e+00 -3.663237025e+01 -4.174000000e+01 +2.1182e+00 -2.5176e+00
279 +3.310138512e+00 +3.310138512e+00 -3.842986149e+01 -4.174000000e+01 +2.1182e+00 -1.8669e+00
783 +1.838846956e+00 +1.838846956e+00 -3.990115304e+01 -4.174000000e+01 +2.1182e+00 -1.8537e+00
2385 +1.060982053e+00 +1.060982053e+00 -4.067901795e+01 -4.174000000e+01 +2.1264e+00 -1.8300e+00
4628 +3.640840144e-01 +3.640840144e-01 -4.137591599e+01 -4.174000000e+01 +3.1439e+00 -1.8202e+00
8622 +1.579320953e-01 +1.579320953e-01 -4.158206790e+01 -4.174000000e+01 +3.1337e+00 -1.8247e+00
14220 +7.373805179e-03 +7.373805179e-03 -4.173262619e+01 -4.174000000e+01 +3.1337e+00 -1.8326e+00
