% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
283 +2.086390601e+00 +2.086390601e+00 +3.965663906e+02 +3.944800000e+02 -4.7239e+00 -3.0518e+00 -3.4190e+00 +3.8279e+00 -2.4795e-01
381 +1.458123960e+00 +1.458123960e+00 +3.959381240e+02 +3.944800000e+02 -4.1292e+00 -3.0518e+00 -3.4190e+00 +3.8279e+00 -2.4795e-01
569 +2.790294833e-01 +2.790294833e-01 +3.947590295e+02 +3.944800000e+02 -4.1292e+00 -3.0518e+00 -3.8279e+00 +3.8279e+00 +4.1983e-01
763 +2.259029628e-01 +2.259029628e-01 +3.947059030e+02 +3.944800000e+02 -3.8870e+00 -3.0518e+00 -3.8279e+00 +3.8279e+00 +4.1983e-01
945 +9.254426123e-02 +9.254426123e-02 +3.945725443e+02 +3.944800000e+02 -4.1292e+00 -3.0518e+00 -3.8279e+00 +3.8279e+00 +7.7822e-01
1041 +3.941774074e-02 +3.941774074e-02 +3.945194177e+02 +3.944800000e+02 -3.8870e+00 -3.0518e+00 -3.8279e+00 +3.8279e+00 +7.7822e-01
1511 +1.512921507e-02 +1.512921507e-02 +3.944951292e+02 +3.944800000e+02 -3.8870e+00 -2.9323e+00 -3.8279e+00 +3.8279e+00 +7.7822e-01
1899 +9.639015774e-03 +9.639015774e-03 +3.944896390e+02 +3.944800000e+02 -3.8870e+00 -2.9323e+00 -3.7921e+00 +3.8279e+00 +8.9933e-01
2087 +3.787289400e-03 +3.787289400e-03 +3.944837873e+02 +3.944800000e+02 -3.8870e+00 -2.9323e+00 -3.7921e+00 +3.9193e+00 +8.9933e-01
2378 +2.354240510e-03 +2.354240510e-03 +3.944823542e+02 +3.944800000e+02 -3.8870e+00 -2.9323e+00 -3.7921e+00 +3.9193e+00 +8.7253e-01
7817 +1.357555241e-03 +1.357555241e-03 +3.944813576e+02 +3.944800000e+02 -3.9221e+00 -2.9090e+00 -3.7951e+00 +3.9012e+00 +8.7860e-01
9087 +9.936582544e-04 +9.936582544e-04 +3.944809937e+02 +3.944800000e+02 -3.9221e+00 -2.8785e+00 -3.7951e+00 +3.9012e+00 +8.7390e-01
11106 +5.649741933e-04 +5.649741933e-04 +3.944805650e+02 +3.944800000e+02 -3.8961e+00 -2.9064e+00 -3.7921e+00 +3.9099e+00 +8.7253e-01
12542 +3.099761677e-04 +3.099761677e-04 +3.944803100e+02 +3.944800000e+02 -3.8961e+00 -2.8917e+00 -3.7921e+00 +3.9099e+00 +8.7253e-01
29586 +2.081202548e-04 +2.081202548e-04 +3.944802081e+02 +3.944800000e+02 -3.8961e+00 -2.8917e+00 -3.8002e+00 +3.9099e+00 +8.7253e-01
39035 +7.423418003e-05 +7.423418003e-05 +3.944800742e+02 +3.944800000e+02 -3.8961e+00 -2.8917e+00 -3.8011e+00 +3.9099e+00 +8.6604e-01
41708 +3.806670946e-05 +3.806670946e-05 +3.944800381e+02 +3.944800000e+02 -3.8961e+00 -2.8917e+00 -3.8011e+00 +3.9027e+00 +8.6375e-01
62788 +1.667972799e-05 +1.667972799e-05 +3.944800167e+02 +3.944800000e+02 -3.8961e+00 -2.8896e+00 -3.8017e+00 +3.9024e+00 +8.5870e-01
66285 +7.431671747e-06 +7.431671747e-06 +3.944800074e+02 +3.944800000e+02 -3.8961e+00 -2.8896e+00 -3.8017e+00 +3.9047e+00 +8.5870e-01
85636 +2.019619501e-06 +2.019619501e-06 +3.944800020e+02 +3.944800000e+02 -3.8980e+00 -2.8911e+00 -3.8017e+00 +3.9047e+00 +8.5870e-01
96916 +1.361580360e-06 +1.361580360e-06 +3.944800014e+02 +3.944800000e+02 -3.8980e+00 -2.8911e+00 -3.8017e+00 +3.9060e+00 +8.5870e-01
140066 +8.937409461e-07 +8.937409461e-07 +3.944800009e+02 +3.944800000e+02 -3.8980e+00 -2.8900e+00 -3.8029e+00 +3.9060e+00 +8.5870e-01
186369 +5.695052323e-07 +5.695052323e-07 +3.944800006e+02 +3.944800000e+02 -3.8980e+00 -2.8900e+00 -3.8029e+00 +3.9054e+00 +8.5925e-01
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.176426310e+01 +9.176426310e+01 -1.553457369e+02 -2.471100000e+02 +1.6387e+00 +2.7266e+00 +2.9473e+00 -1.8735e+00 +3.1691e+00
