% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
9677 +3.071924727e-02 +3.071924727e-02 -1.520092808e+02 -1.520400000e+02 -2.4313e-01 +1.4339e+00 -3.9571e+00 +3.2744e+00 +2.4356e+00 +2.0385e-01 -8.4653e-01 -7.1430e-01 +1.4473e+00 +3.4548e+00 -8.4593e-01 -2.6718e+00 -3.9076e+00 +3.9142e+00 +3.0395e-01 +1.2592e+00 +1.9902e+00 +2.1851e-01 -4.2055e-01 +4.0229e+00
10071 +2.409443721e-02 +2.409443721e-02 -1.520159056e+02 -1.520400000e+02 -2.8742e-01 +1.4339e+00 -3.9559e+00 +3.2744e+00 +2.4356e+00 +2.0385e-01 -8.4653e-01 -7.1430e-01 +1.4777e+00 +3.4548e+00 -8.4593e-01 -2.6718e+00 -3.9076e+00 +3.9142e+00 +3.0395e-01 +1.2592e+00 +1.9902e+00 +3.4828e-01 -4.2055e-01 +4.0229e+00
41853 +1.264716416e-02 +1.264716416e-02 -1.520273528e+02 -1.520400000e+02 -2.8742e-01 +1.4339e+00 -3.9559e+00 +3.2744e+00 +2.4356e+00 +2.0385e-01 -8.4653e-01 -7.1430e-01 +1.4777e+00 +3.4987e+00 -8.4593e-01 -2.6213e+00 -3.9076e+00 +3.9142e+00 +3.0395e-01 +1.2592e+00 +2.0511e+00 +3.4812e-01 -3.7164e-01 +3.9146e+00
42936 +9.402840671e-03 +9.402840671e-03 -1.520305972e+02 -1.520400000e+02 -2.5477e-01 +1.4339e+00 -3.9559e+00 +3.2744e+00 +2.4356e+00 +2.0385e-01 -8.5984e-01 -7.1430e-01 +1.4777e+00 +3.4987e+00 -8.4593e-01 -2.6213e+00 -3.9076e+00 +3.9142e+00 +3.0395e-01 +1.2592e+00 +2.0511e+00 +3.1593e-01 -3.7164e-01 +3.9175e+00
56653 +6.195347626e-03 +6.195347626e-03 -1.520338047e+02 -1.520400000e+02 -2.6091e-01 +1.4339e+00 -3.9456e+00 +3.2744e+00 +2.4356e+00 +1.8887e-01 -8.6074e-01 -7.1430e-01 +1.4841e+00 +3.4548e+00 -8.4593e-01 -2.6718e+00 -3.9076e+00 +3.8795e+00 +2.7615e-01 +1.2543e+00 +2.0511e+00 +2.8622e-01 -3.7164e-01 +3.9358e+00
57794 +3.920162757e-03 +3.920162757e-03 -1.520360798e+02 -1.520400000e+02 -2.6091e-01 +1.4339e+00 -3.9456e+00 +3.2744e+00 +2.4356e+00 +1.3609e-01 -8.6074e-01 -7.1430e-01 +1.4841e+00 +3.4611e+00 -8.4593e-01 -2.6259e+00 -3.9076e+00 +3.8795e+00 +2.7958e-01 +1.2543e+00 +2.0511e+00 +2.8622e-01 -3.7164e-01 +3.9358e+00
65353 +2.479545950e-03 +2.479545950e-03 -1.520375205e+02 -1.520400000e+02 -2.7378e-01 +1.4339e+00 -3.9348e+00 +3.3024e+00 +2.4140e+00 +1.6552e-01 -8.8841e-01 -7.1430e-01 +1.5015e+00 +3.4548e+00 -8.4593e-01 -2.6419e+00 -3.9076e+00 +3.9142e+00 +2.8811e-01 +1.2592e+00 +2.0511e+00 +3.0511e-01 -3.6278e-01 +3.9527e+00
67328 +1.493485683e-03 +1.493485683e-03 -1.520385065e+02 -1.520400000e+02 -2.7378e-01 +1.4339e+00 -3.9348e+00 +3.3024e+00 +2.4140e+00 +1.6552e-01 -8.8841e-01 -7.1430e-01 +1.5015e+00 +3.4920e+00 -8.4593e-01 -2.6419e+00 -3.9076e+00 +3.9142e+00 +2.8811e-01 +1.2286e+00 +2.0511e+00 +3.0511e-01 -3.6278e-01 +3.9527e+00
68508 +8.027087772e-04 +8.027087772e-04 -1.520391973e+02 -1.520400000e+02 -2.7378e-01 +1.4339e+00 -3.9348e+00 +3.3024e+00 +2.4140e+00 +1.5550e-01 -8.8841e-01 -7.1430e-01 +1.5015e+00 +3.4920e+00 -8.4593e-01 -2.6419e+00 -3.9076e+00 +3.8915e+00 +2.8811e-01 +1.2373e+00 +2.0511e+00 +3.0511e-01 -3.6278e-01 +3.9527e+00
134708 +6.181977097e-04 +6.181977097e-04 -1.520393818e+02 -1.520400000e+02 -2.7378e-01 +1.4339e+00 -3.9348e+00 +3.3024e+00 +2.4140e+00 +1.5550e-01 -8.7320e-01 -6.9047e-01 +1.5015e+00 +3.4920e+00 -8.4593e-01 -2.6419e+00 -3.9076e+00 +3.8915e+00 +2.8801e-01 +1.2373e+00 +2.0511e+00 +2.9914e-01 -3.6278e-01 +3.9527e+00
139480 +3.971017551e-04 +3.971017551e-04 -1.520396029e+02 -1.520400000e+02 -2.7378e-01 +1.4325e+00 -3.9186e+00 +3.3024e+00 +2.4140e+00 +1.4685e-01 -8.7320e-01 -6.9047e-01 +1.5015e+00 +3.4786e+00 -8.4593e-01 -2.6419e+00 -3.9076e+00 +3.8915e+00 +2.8801e-01 +1.2373e+00 +2.0511e+00 +2.9914e-01 -3.6278e-01 +3.9527e+00
151330 +1.821114487e-04 +1.821114487e-04 -1.520398179e+02 -1.520400000e+02 -2.6531e-01 +1.4243e+00 -3.9264e+00 +3.2971e+00 +2.4140e+00 +1.5550e-01 -8.7534e-01 -7.0193e-01 +1.5015e+00 +3.4876e+00 -8.4593e-01 -2.6419e+00 -3.9076e+00 +3.8915e+00 +2.8811e-01 +1.2373e+00 +2.0511e+00 +3.0492e-01 -3.6278e-01 +3.9527e+00
176285 +1.386485336e-04 +1.386485336e-04 -1.520398614e+02 -1.520400000e+02 -2.6301e-01 +1.4251e+00 -3.9227e+00 +3.2996e+00 +2.4140e+00 +1.4980e-01 -8.7958e-01 -6.9764e-01 +1.5015e+00 +3.4812e+00 -8.4593e-01 -2.6419e+00 -3.9076e+00 +3.8915e+00 +2.8811e-01 +1.2373e+00 +2.0511e+00 +3.0511e-01 -3.6278e-01 +3.9527e+00
238174 +9.306662568e-05 +9.306662568e-05 -1.520399069e+02 -1.520400000e+02 -2.6866e-01 +1.4251e+00 -3.9227e+00 +3.2996e+00 +2.4140e+00 +1.4980e-01 -8.7958e-01 -6.9764e-01 +1.5015e+00 +3.4812e+00 -8.4576e-01 -2.6419e+00 -3.9076e+00 +3.8915e+00 +2.8811e-01 +1.2373e+00 +2.0511e+00 +2.9641e-01 -3.6278e-01 +3.9509e+00
261609 +5.485623959e-05 +5.485623959e-05 -1.520399451e+02 -1.520400000e+02 -2.6345e-01 +1.4251e+00 -3.9269e+00 +3.2996e+00 +2.4181e+00 +1.4980e-01 -8.7958e-01 -6.9764e-01 +1.5015e+00 +3.4812e+00 -8.4593e-01 -2.6419e+00 -3.9076e+00 +3.8915e+00 +2.8356e-01 +1.2373e+00 +2.0511e+00 +2.9893e-01 -3.6278e-01 +3.9509e+00
331265 +3.875273924e-05 +3.875273924e-05 -1.520399612e+02 -1.520400000e+02 -2.6611e-01 +1.4251e+00 -3.9265e+00 +3.2996e+00 +2.4181e+00 +1.4980e-01 -8.7832e-01 -6.9764e-01 +1.4985e+00 +3.4804e+00 -8.4593e-01 -2.6419e+00 -3.9076e+00 +3.8915e+00 +2.8356e-01 +1.2373e+00 +2.0511e+00 +2.9893e-01 -3.6278e-01 +3.9509e+00
351138 +2.262886201e-05 +2.262886201e-05 -1.520399774e+02 -1.520400000e+02 -2.6774e-01 +1.4243e+00 -3.9264e+00 +3.2971e+00 +2.4181e+00 +1.4980e-01 -8.7958e-01 -6.9924e-01 +1.5015e+00 +3.4812e+00 -8.4593e-01 -2.6419e+00 -3.9076e+00 +3.8915e+00 +2.8356e-01 +1.2373e+00 +2.0511e+00 +2.9893e-01 -3.6278e-01 +3.9509e+00
373661 +1.499103925e-05 +1.499103925e-05 -1.520399850e+02 -1.520400000e+02 -2.6774e-01 +1.4243e+00 -3.9250e+00 +3.2971e+00 +2.4181e+00 +1.4980e-01 -8.7864e-01 -6.9924e-01 +1.5015e+00 +3.4812e+00 -8.4593e-01 -2.6419e+00 -3.9076e+00 +3.8942e+00 +2.8356e-01 +1.2373e+00 +2.0511e+00 +2.9893e-01 -3.6278e-01 +3.9509e+00
453894 +9.941305109e-06 +9.941305109e-06 -1.520399901e+02 -1.520400000e+02 -2.6774e-01 +1.4243e+00 -3.9250e+00 +3.2971e+00 +2.4181e+00 +1.4980e-01 -8.7864e-01 -6.9924e-01 +1.4997e+00 +3.4812e+00 -8.4493e-01 -2.6419e+00 -3.9076e+00 +3.8942e+00 +2.8356e-01 +1.2373e+00 +2.0511e+00 +2.9893e-01 -3.6278e-01 +3.9509e+00
482166 +6.010079716e-06 +6.010079716e-06 -1.520399940e+02 -1.520400000e+02 -2.6774e-01 +1.4243e+00 -3.9250e+00 +3.2971e+00 +2.4187e+00 +1.4980e-01 -8.7769e-01 -7.0156e-01 +1.4997e+00 +3.4805e+00 -8.4320e-01 -2.6417e+00 -3.9086e+00 +3.8942e+00 +2.8356e-01 +1.2373e+00 +2.0511e+00 +2.9893e-01 -3.6278e-01 +3.9509e+00
577553 +3.708692191e-06 +3.708692191e-06 -1.520399963e+02 -1.520400000e+02 -2.6774e-01 +1.4243e+00 -3.9246e+00 +3.2971e+00 +2.4187e+00 +1.4980e-01 -8.7864e-01 -7.0068e-01 +1.4997e+00 +3.4805e+00 -8.4382e-01 -2.6417e+00 -3.9086e+00 +3.8942e+00 +2.8356e-01 +1.2364e+00 +2.0511e+00 +2.9904e-01 -3.6303e-01 +3.9511e+00
632894 +2.426444098e-06 +2.426444098e-06 -1.520399976e+02 -1.520400000e+02 -2.6774e-01 +1.4243e+00 -3.9247e+00 +3.2965e+00 +2.4187e+00 +1.4992e-01 -8.7864e-01 -7.0068e-01 +1.4997e+00 +3.4808e+00 -8.4382e-01 -2.6417e+00 -3.9086e+00 +3.8942e+00 +2.8428e-01 +1.2364e+00 +2.0511e+00 +2.9910e-01 -3.6406e-01 +3.9509e+00
690835 +1.549091536e-06 +1.549091536e-06 -1.520399985e+02 -1.520400000e+02 -2.6774e-01 +1.4243e+00 -3.9247e+00 +3.2965e+00 +2.4187e+00 +1.4992e-01 -8.7864e-01 -7.0068e-01 +1.4997e+00 +3.4808e+00 -8.4382e-01 -2.6417e+00 -3.9086e+00 +3.8936e+00 +2.8356e-01 +1.2371e+00 +2.0506e+00 +2.9911e-01 -3.6406e-01 +3.9509e+00
728608 +9.874593161e-07 +9.874593161e-07 -1.520399990e+02 -1.520400000e+02 -2.6690e-01 +1.4243e+00 -3.9247e+00 +3.2965e+00 +2.4187e+00 +1.5022e-01 -8.7864e-01 -7.0068e-01 +1.4997e+00 +3.4808e+00 -8.4382e-01 -2.6417e+00 -3.9086e+00 +3.8936e+00 +2.8428e-01 +1.2366e+00 +2.0506e+00 +2.9911e-01 -3.6406e-01 +3.9509e+00
1226185 +4.976407126e-07 +4.976407126e-07 -1.520399995e+02 -1.520400000e+02 -2.6736e-01 +1.4237e+00 -3.9247e+00 +3.2965e+00 +2.4190e+00 +1.5039e-01 -8.7864e-01 -7.0068e-01 +1.5000e+00 +3.4808e+00 -8.4388e-01 -2.6417e+00 -3.9086e+00 +3.8936e+00 +2.8428e-01 +1.2367e+00 +2.0503e+00 +2.9929e-01 -3.6406e-01 +3.9511e+00
1446203 +3.677766358e-07 +3.677766358e-07 -1.520399996e+02 -1.520400000e+02 -2.6713e-01 +1.4237e+00 -3.9248e+00 +3.2967e+00 +2.4190e+00 +1.5039e-01 -8.7864e-01 -7.0068e-01 +1.5000e+00 +3.4808e+00 -8.4388e-01 -2.6417e+00 -3.9087e+00 +3.8936e+00 +2.8428e-01 +1.2367e+00 +2.0505e+00 +2.9929e-01 -3.6406e-01 +3.9511e+00
1791153 +2.218485804e-07 +2.218485804e-07 -1.520399998e+02 -1.520400000e+02 -2.6713e-01 +1.4237e+00 -3.9248e+00 +3.2968e+00 +2.4193e+00 +1.5039e-01 -8.7859e-01 -7.0071e-01 +1.5000e+00 +3.4808e+00 -8.4399e-01 -2.6416e+00 -3.9087e+00 +3.8936e+00 +2.8383e-01 +1.2367e+00 +2.0504e+00 +2.9929e-01 -3.6406e-01 +3.9511e+00
% function evaluation | noise-free fitness - Fopt (-2.525000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.147618922e+02 +2.147618922e+02 +1.895118922e+02 -2.525000000e+01 +1.6039e+00 -4.8201e+00 -2.4687e+00 -1.4719e-01 -1.7459e+00 -3.0136e+00 +3.1093e+00 +2.6025e+00 +3.7056e+00 +3.5310e+00 -9.9532e-01 +6.5799e-01 -5.8407e-01 +1.8984e+00 +4.3499e+00 -1.4063e+00 -1.2805e+00 -1.5494e+00 -2.6535e+00 +1.7295e+00
389 +6.701596569e+01 +6.701596569e+01 +4.176596569e+01 -2.525000000e+01 +4.5479e+00 +7.9557e-01 -2.5733e+00 +2.2288e+00 +2.7728e+00 +1.7935e+00 -2.7676e+00 -9.4770e-01 +3.7045e+00 -1.2610e+00 +3.8077e+00 +3.6691e+00 -1.9393e+00 -6.1457e-01 +3.2944e+00 +4.9079e-01 +7.1679e-01 -2.3003e+00 -4.0188e+00 -2.1067e+00
582 +4.389966727e+01 +4.389966727e+01 +1.864966727e+01 -2.525000000e+01 +1.5671e-01 +1.8779e+00 +4.7911e-01 -2.5327e+00 +4.2190e+00 +3.5794e-01 -3.9772e+00 +6.1597e-01 +1.4835e+00 -1.2610e+00 +3.8077e+00 +3.6691e+00 -1.9393e+00 -6.1457e-01 +3.2944e+00 +1.3834e+00 +7.1679e-01 -2.3003e+00 -3.9892e-01 -1.9381e+00
772 +2.819144172e+01 +2.819144172e+01 +2.941441718e+00 -2.525000000e+01 +4.5479e+00 +7.9557e-01 -2.5733e+00 -2.5327e+00 +4.2190e+00 +3.5794e-01 -3.9772e+00 +6.1597e-01 +1.4835e+00 -1.2610e+00 +3.8077e+00 +3.6691e+00 -1.9393e+00 -6.1457e-01 +3.2944e+00 +4.9079e-01 +7.1679e-01 -2.3003e+00 -3.9892e-01 -2.1067e+00
968 +2.285394820e+01 +2.285394820e+01 -2.396051801e+00 -2.525000000e+01 +3.5283e+00 +5.6300e-01 -7.4220e-01 -1.7724e+00 +4.2190e+00 +3.5794e-01 -3.9772e+00 +6.1597e-01 +1.4835e+00 -9.8620e-01 +3.4415e+00 -5.4656e-01 -1.9393e+00 -6.1457e-01 +3.2944e+00 +4.9079e-01 +7.1679e-01 -2.3003e+00 -3.9892e-01 -2.1067e+00
1545 +1.411871176e+01 +1.411871176e+01 -1.113128824e+01 -2.525000000e+01 +4.5479e+00 +6.0873e-01 -2.1324e+00 -1.7724e+00 +3.5076e+00 +3.5794e-01 -2.7676e+00 -9.4770e-01 +1.4835e+00 -9.8620e-01 +3.4415e+00 -5.4656e-01 -1.9393e+00 -6.1457e-01 +3.2944e+00 +4.9079e-01 -7.1562e-02 -2.3003e+00 -3.9892e-01 -2.1067e+00
1928 +8.474299510e+00 +8.474299510e+00 -1.677570049e+01 -2.525000000e+01 +4.5479e+00 +6.0873e-01 -2.1324e+00 -1.7724e+00 +3.2014e+00 -5.2216e-01 -2.7676e+00 -2.0328e+00 +1.4835e+00 -1.5301e+00 +3.1578e+00 +7.6011e-01 -1.9393e+00 -6.1457e-01 +3.2944e+00 +4.9079e-01 -5.7285e-01 -2.3003e+00 -3.9892e-01 -2.1067e+00
2498 +5.933564282e+00 +5.933564282e+00 -1.931643572e+01 -2.525000000e+01 +3.6856e+00 +4.9198e-01 -2.1324e+00 -1.7724e+00 +3.2014e+00 -5.2216e-01 -2.7676e+00 -2.0328e+00 +1.4835e+00 -1.5301e+00 +3.0204e+00 +7.6011e-01 -1.9393e+00 -6.1457e-01 +2.0266e+00 +4.9079e-01 -5.7285e-01 -2.3003e+00 -3.9892e-01 -2.1067e+00
2884 +3.799262204e+00 +3.799262204e+00 -2.145073780e+01 -2.525000000e+01 +3.6959e+00 +6.0873e-01 -1.2021e+00 -1.7724e+00 +3.2014e+00 -5.2216e-01 -2.7676e+00 -2.0328e+00 +1.4835e+00 -3.1512e+00 +3.1452e+00 +7.6011e-01 -1.9393e+00 -6.1457e-01 +2.0266e+00 +4.9079e-01 -5.7285e-01 -1.8490e+00 -3.9892e-01 -2.1067e+00
3462 +2.283851976e+00 +2.283851976e+00 -2.296614802e+01 -2.525000000e+01 +3.6856e+00 +6.0873e-01 -1.2356e+00 -1.7724e+00 +3.2014e+00 -5.2216e-01 -2.9761e+00 -2.0328e+00 +1.4835e+00 -3.1512e+00 +3.1452e+00 +7.6011e-01 -1.9393e+00 -2.5220e-01 +2.0266e+00 +4.9079e-01 -7.5416e-01 -1.6320e+00 +1.6437e-01 -1.7022e+00
4027 +1.368163802e+00 +1.368163802e+00 -2.388183620e+01 -2.525000000e+01 +3.4367e+00 +6.0873e-01 -1.2356e+00 -1.7724e+00 +3.2014e+00 +1.0780e-03 -2.4905e+00 -1.8126e+00 +1.4835e+00 -3.1512e+00 +2.7726e+00 +7.6011e-01 -1.9393e+00 -3.1203e-01 +2.0266e+00 +2.5189e-01 -5.7285e-01 -1.6320e+00 +4.7731e-01 -1.4420e+00
4417 +7.932182301e-01 +7.932182301e-01 -2.445678177e+01 -2.525000000e+01 +3.6856e+00 +6.0873e-01 -1.2356e+00 -1.7724e+00 +3.2014e+00 +1.0780e-03 -2.4905e+00 -2.0328e+00 +1.4835e+00 -2.8407e+00 +3.0204e+00 +7.6011e-01 -2.3934e+00 +1.9292e-01 +2.0266e+00 +2.4644e-01 -5.7285e-01 -1.4756e+00 +1.6437e-01 -1.4420e+00
4797 +5.509078172e-01 +5.509078172e-01 -2.469909218e+01 -2.525000000e+01 +3.6856e+00 +6.0873e-01 -1.2356e+00 -1.8976e+00 +3.2014e+00 +1.0780e-03 -2.4905e+00 -1.8126e+00 +1.4835e+00 -2.8407e+00 +3.0204e+00 +7.6011e-01 -2.3934e+00 +1.9292e-01 +2.0266e+00 +2.4644e-01 -5.7285e-01 -1.4756e+00 +4.0438e-01 -1.0955e+00
5180 +3.513937840e-01 +3.513937840e-01 -2.489860622e+01 -2.525000000e+01 +3.6856e+00 +6.0873e-01 -1.2356e+00 -2.0397e+00 +3.2014e+00 +1.0780e-03 -2.4905e+00 -1.8126e+00 +1.4835e+00 -2.8407e+00 +2.7726e+00 +7.6011e-01 -2.6712e+00 +1.9292e-01 +2.0266e+00 +2.4644e-01 -5.7285e-01 -1.4756e+00 +4.0438e-01 -1.0955e+00
5561 +2.212301168e-01 +2.212301168e-01 -2.502876988e+01 -2.525000000e+01 +3.6856e+00 +6.0873e-01 -1.2356e+00 -2.1534e+00 +3.2014e+00 +1.0780e-03 -2.4905e+00 -1.8126e+00 +1.1989e+00 -2.8407e+00 +2.5667e+00 +1.3359e+00 -2.6712e+00 +1.9292e-01 +2.0266e+00 +2.4644e-01 -5.7285e-01 -1.4528e+00 +4.0438e-01 -1.0955e+00
6121 +1.563869671e-01 +1.563869671e-01 -2.509361303e+01 -2.525000000e+01 +3.6856e+00 +6.0873e-01 -1.2356e+00 -2.1534e+00 +3.2014e+00 +1.0780e-03 -2.4905e+00 -1.8126e+00 +1.1989e+00 -2.6494e+00 +2.5667e+00 +1.2360e+00 -2.6712e+00 +1.9292e-01 +2.0266e+00 +3.3836e-01 -5.7285e-01 -1.4528e+00 +4.0438e-01 -1.0955e+00
7080 +8.990674285e-02 +8.990674285e-02 -2.516009326e+01 -2.525000000e+01 +3.6856e+00 +6.0873e-01 -1.5078e+00 -2.1534e+00 +3.2014e+00 +1.0780e-03 -2.4905e+00 -1.8126e+00 +1.2585e+00 -2.6494e+00 +2.5667e+00 +1.1612e+00 -2.6712e+00 +1.9292e-01 +2.0266e+00 +3.3836e-01 -5.7285e-01 -1.2493e+00 +4.0438e-01 -1.0955e+00
7835 +5.645432292e-02 +5.645432292e-02 -2.519354568e+01 -2.525000000e+01 +3.6856e+00 +6.0873e-01 -1.5078e+00 -2.1534e+00 +3.3703e+00 +1.0780e-03 -2.4905e+00 -1.8126e+00 +1.2585e+00 -2.6494e+00 +2.5667e+00 +1.1612e+00 -2.6005e+00 -2.4156e-02 +2.0266e+00 +3.3836e-01 -5.7285e-01 -1.3746e+00 +4.0438e-01 -1.1720e+00
8585 +3.406144941e-02 +3.406144941e-02 -2.521593855e+01 -2.525000000e+01 +3.6856e+00 +6.0873e-01 -1.4184e+00 -2.1534e+00 +3.2483e+00 -1.5364e-01 -2.4905e+00 -1.8126e+00 +1.2585e+00 -2.6494e+00 +2.6829e+00 +1.1612e+00 -2.6005e+00 -2.4156e-02 +2.0266e+00 +3.3836e-01 -5.7285e-01 -1.3746e+00 +4.0438e-01 -1.1720e+00
9543 +2.285793553e-02 +2.285793553e-02 -2.522714206e+01 -2.525000000e+01 +3.5752e+00 +6.0873e-01 -1.4184e+00 -2.1534e+00 +3.2483e+00 -7.3372e-02 -2.4753e+00 -1.8126e+00 +1.2585e+00 -2.6494e+00 +2.6220e+00 +1.1612e+00 -2.6005e+00 -2.4156e-02 +2.0266e+00 +3.3836e-01 -6.4968e-01 -1.2493e+00 +4.0438e-01 -1.1484e+00
30639 +1.458506954e-02 +1.458506954e-02 -2.523541493e+01 -2.525000000e+01 +3.5752e+00 +6.0873e-01 -1.4184e+00 -2.1534e+00 +3.2672e+00 -7.3372e-02 -2.4905e+00 -1.8126e+00 +1.3159e+00 -2.6494e+00 +2.6220e+00 +1.1612e+00 -2.6005e+00 +8.5729e-02 +2.0266e+00 +3.3836e-01 -6.4968e-01 -1.3517e+00 +4.0438e-01 -1.1484e+00
31995 +9.566831200e-03 +9.566831200e-03 -2.524043317e+01 -2.525000000e+01 +3.6302e+00 +6.0873e-01 -1.4184e+00 -2.1534e+00 +3.2826e+00 -7.3372e-02 -2.4753e+00 -1.8126e+00 +1.3159e+00 -2.6494e+00 +2.6220e+00 +1.1612e+00 -2.6005e+00 +2.7885e-02 +2.0266e+00 +3.3836e-01 -6.4968e-01 -1.2805e+00 +4.0438e-01 -1.1484e+00
33550 +5.921224257e-03 +5.921224257e-03 -2.524407878e+01 -2.525000000e+01 +3.6302e+00 +6.0873e-01 -1.4184e+00 -2.1534e+00 +3.2826e+00 -7.3372e-02 -2.4753e+00 -1.8126e+00 +1.3159e+00 -2.6494e+00 +2.6220e+00 +1.1160e+00 -2.5852e+00 +2.7885e-02 +2.0266e+00 +3.3836e-01 -6.4968e-01 -1.2805e+00 +3.3593e-01 -1.1484e+00
35677 +3.539655608e-03 +3.539655608e-03 -2.524646034e+01 -2.525000000e+01 +3.6302e+00 +6.0873e-01 -1.4184e+00 -2.1534e+00 +3.2826e+00 -1.2430e-01 -2.4753e+00 -1.8126e+00 +1.3159e+00 -2.6494e+00 +2.6508e+00 +1.1160e+00 -2.5852e+00 +2.7885e-02 +2.0312e+00 +3.1566e-01 -6.2633e-01 -1.3066e+00 +3.3593e-01 -1.1484e+00
38957 +2.475138250e-03 +2.475138250e-03 -2.524752486e+01 -2.525000000e+01 +3.6302e+00 +6.0873e-01 -1.4188e+00 -2.1534e+00 +3.2826e+00 -1.2041e-01 -2.4753e+00 -1.8126e+00 +1.3159e+00 -2.6807e+00 +2.6508e+00 +1.1160e+00 -2.5741e+00 +4.3171e-02 +2.0312e+00 +3.1566e-01 -6.2633e-01 -1.3066e+00 +3.3593e-01 -1.1484e+00
83306 +1.570058788e-03 +1.570058788e-03 -2.524842994e+01 -2.525000000e+01 +3.6064e+00 +6.3215e-01 -1.4184e+00 -2.1534e+00 +3.2998e+00 -1.1119e-01 -2.4905e+00 -1.8126e+00 +1.3159e+00 -2.6494e+00 +2.6437e+00 +1.1135e+00 -2.5625e+00 +3.9972e-02 +2.0268e+00 +3.1249e-01 -6.4611e-01 -1.3027e+00 +3.5637e-01 -1.1534e+00
84208 +8.552292157e-04 +8.552292157e-04 -2.524914477e+01 -2.525000000e+01 +3.6064e+00 +6.3215e-01 -1.4184e+00 -2.1534e+00 +3.2998e+00 -1.0325e-01 -2.4694e+00 -1.8126e+00 +1.3159e+00 -2.6616e+00 +2.6437e+00 +1.1135e+00 -2.5625e+00 +3.9972e-02 +2.0268e+00 +3.1249e-01 -6.4611e-01 -1.3027e+00 +3.5637e-01 -1.1534e+00
109579 +5.230617124e-04 +5.230617124e-04 -2.524947694e+01 -2.525000000e+01 +3.6302e+00 +6.3960e-01 -1.4188e+00 -2.1534e+00 +3.2943e+00 -1.0578e-01 -2.4753e+00 -1.8126e+00 +1.3159e+00 -2.6697e+00 +2.6508e+00 +1.1206e+00 -2.5741e+00 +4.3171e-02 +2.0438e+00 +3.1566e-01 -6.2633e-01 -1.3066e+00 +3.5539e-01 -1.1484e+00
112111 +3.296548078e-04 +3.296548078e-04 -2.524967035e+01 -2.525000000e+01 +3.6052e+00 +6.3752e-01 -1.4188e+00 -2.1534e+00 +3.2943e+00 -1.0578e-01 -2.4753e+00 -1.8126e+00 +1.3159e+00 -2.6697e+00 +2.6508e+00 +1.1206e+00 -2.5719e+00 +4.3171e-02 +2.0434e+00 +3.1566e-01 -6.2633e-01 -1.3066e+00 +3.5539e-01 -1.1484e+00
151163 +1.559851495e-04 +1.559851495e-04 -2.524984401e+01 -2.525000000e+01 +3.6187e+00 +6.3505e-01 -1.4188e+00 -2.1534e+00 +3.2978e+00 -1.0234e-01 -2.4753e+00 -1.8147e+00 +1.3146e+00 -2.6807e+00 +2.6405e+00 +1.1160e+00 -2.5714e+00 +4.3171e-02 +2.0449e+00 +3.1566e-01 -6.3033e-01 -1.3078e+00 +3.6095e-01 -1.1598e+00
202403 +7.850515137e-05 +7.850515137e-05 -2.524992149e+01 -2.525000000e+01 +3.6160e+00 +6.3677e-01 -1.4188e+00 -2.1534e+00 +3.2978e+00 -1.0578e-01 -2.4753e+00 -1.8126e+00 +1.3159e+00 -2.6697e+00 +2.6422e+00 +1.1206e+00 -2.5719e+00 +4.3171e-02 +2.0434e+00 +3.1566e-01 -6.3393e-01 -1.3078e+00 +3.6095e-01 -1.1564e+00
208227 +4.832136310e-05 +4.832136310e-05 -2.524995168e+01 -2.525000000e+01 +3.6160e+00 +6.3505e-01 -1.4188e+00 -2.1534e+00 +3.2978e+00 -1.0234e-01 -2.4753e+00 -1.8147e+00 +1.3146e+00 -2.6697e+00 +2.6405e+00 +1.1206e+00 -2.5719e+00 +4.3171e-02 +2.0434e+00 +3.1566e-01 -6.3033e-01 -1.3078e+00 +3.6095e-01 -1.1578e+00
210341 +3.734077161e-05 +3.734077161e-05 -2.524996266e+01 -2.525000000e+01 +3.6147e+00 +6.3505e-01 -1.4188e+00 -2.1534e+00 +3.2978e+00 -1.0234e-01 -2.4753e+00 -1.8147e+00 +1.3137e+00 -2.6697e+00 +2.6405e+00 +1.1206e+00 -2.5691e+00 +4.3171e-02 +2.0434e+00 +3.1566e-01 -6.3033e-01 -1.3078e+00 +3.6095e-01 -1.1564e+00
289335 +2.403702466e-05 +2.403702466e-05 -2.524997596e+01 -2.525000000e+01 +3.6147e+00 +6.3505e-01 -1.4188e+00 -2.1534e+00 +3.2978e+00 -1.0234e-01 -2.4753e+00 -1.8147e+00 +1.3137e+00 -2.6735e+00 +2.6417e+00 +1.1205e+00 -2.5691e+00 +4.3171e-02 +2.0434e+00 +3.1566e-01 -6.3099e-01 -1.3078e+00 +3.6095e-01 -1.1564e+00
336751 +1.518285618e-05 +1.518285618e-05 -2.524998482e+01 -2.525000000e+01 +3.6147e+00 +6.3505e-01 -1.4200e+00 -2.1534e+00 +3.2978e+00 -1.0234e-01 -2.4753e+00 -1.8147e+00 +1.3123e+00 -2.6718e+00 +2.6422e+00 +1.1206e+00 -2.5719e+00 +4.3171e-02 +2.0394e+00 +3.1566e-01 -6.3180e-01 -1.3078e+00 +3.6095e-01 -1.1564e+00
