% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
8008 +1.398850917e-01 +1.398850917e-01 +7.961988509e+01 +7.948000000e+01 +3.3241e-01 -1.0905e+00 -5.8885e-01 +1.9061e+00 -2.7215e+00 +3.8713e-01 -5.9462e-02 +6.3785e-02 -1.7626e+00 -3.0299e+00 -3.9057e+00 +2.0269e+00 +1.1510e+00 -2.4419e-01 +3.6952e+00 +2.8603e+00 -1.2952e-01 -4.1202e+00 +2.4513e+00 +1.4046e+00
8392 +9.964661001e-02 +9.964661001e-02 +7.957964661e+01 +7.948000000e+01 +3.3241e-01 -1.0905e+00 -5.8885e-01 +1.9061e+00 -2.7215e+00 +3.8713e-01 -5.9462e-02 +6.3785e-02 -1.7626e+00 -3.0299e+00 -3.9057e+00 +2.0269e+00 +1.1391e+00 +4.2300e-02 +3.6952e+00 +2.8603e+00 -1.6320e-01 -3.9987e+00 +2.4513e+00 +1.4046e+00
9170 +6.043334107e-02 +6.043334107e-02 +7.954043334e+01 +7.948000000e+01 +2.5983e-01 -1.0905e+00 -6.7672e-01 +1.9061e+00 -2.7215e+00 +3.8713e-01 -5.9462e-02 +6.3785e-02 -1.7626e+00 -3.0299e+00 -3.9057e+00 +2.0269e+00 +1.1391e+00 -2.6767e-02 +3.6952e+00 +2.8603e+00 -1.6320e-01 -3.9613e+00 +2.4513e+00 +1.4046e+00
18212 +3.953357531e-02 +3.953357531e-02 +7.951953358e+01 +7.948000000e+01 +2.9994e-01 -1.1824e+00 -7.2713e-01 +1.8842e+00 -2.6689e+00 +4.2232e-01 -1.0201e-01 +1.8995e-01 -1.5865e+00 -3.0439e+00 -3.9085e+00 +1.9554e+00 +1.0209e+00 -6.8417e-02 +3.6996e+00 +2.9664e+00 -9.2680e-02 -3.8890e+00 +2.3254e+00 +1.4318e+00
30719 +2.415786486e-02 +2.415786486e-02 +7.950415786e+01 +7.948000000e+01 +2.5983e-01 -1.1390e+00 -7.6638e-01 +1.9061e+00 -2.7215e+00 +3.8713e-01 -1.0688e-01 +1.0232e-01 -1.5844e+00 -3.0299e+00 -3.8318e+00 +2.0269e+00 +1.1391e+00 -1.1836e-01 +3.6467e+00 +2.8603e+00 -1.2538e-01 -3.9613e+00 +2.4219e+00 +1.4046e+00
31489 +1.148141941e-02 +1.148141941e-02 +7.949148142e+01 +7.948000000e+01 +2.5983e-01 -1.1390e+00 -7.6638e-01 +1.9061e+00 -2.6909e+00 +3.8713e-01 -1.0688e-01 +1.0232e-01 -1.6540e+00 -3.0299e+00 -3.8318e+00 +2.0269e+00 +1.0745e+00 -1.1836e-01 +3.6467e+00 +2.8824e+00 -1.2538e-01 -3.9613e+00 +2.3913e+00 +1.3822e+00
31681 +8.822959589e-03 +8.822959589e-03 +7.948882296e+01 +7.948000000e+01 +2.5983e-01 -1.1390e+00 -7.6638e-01 +1.9156e+00 -2.6909e+00 +4.2056e-01 -1.0688e-01 +1.0232e-01 -1.6540e+00 -3.0299e+00 -3.8318e+00 +2.0269e+00 +1.0745e+00 -1.1836e-01 +3.6467e+00 +2.8824e+00 -1.2538e-01 -3.9613e+00 +2.3913e+00 +1.3822e+00
33198 +5.520105880e-03 +5.520105880e-03 +7.948552011e+01 +7.948000000e+01 +2.5983e-01 -1.1390e+00 -7.2252e-01 +1.9156e+00 -2.6909e+00 +4.2056e-01 -1.0688e-01 +1.0232e-01 -1.6540e+00 -3.0299e+00 -3.8318e+00 +2.0269e+00 +1.0745e+00 -1.1836e-01 +3.6467e+00 +2.9173e+00 -1.2538e-01 -3.9130e+00 +2.3913e+00 +1.3822e+00
34532 +3.878736854e-03 +3.878736854e-03 +7.948387874e+01 +7.948000000e+01 +2.5983e-01 -1.1390e+00 -7.2252e-01 +1.9156e+00 -2.6909e+00 +4.2056e-01 -1.0688e-01 +1.0232e-01 -1.6540e+00 -3.0371e+00 -3.8318e+00 +2.0269e+00 +1.0745e+00 -8.7250e-02 +3.6467e+00 +2.9094e+00 -1.2538e-01 -3.9130e+00 +2.3857e+00 +1.3822e+00
36432 +2.369036821e-03 +2.369036821e-03 +7.948236904e+01 +7.948000000e+01 +2.5983e-01 -1.1547e+00 -7.2252e-01 +1.9156e+00 -2.6909e+00 +4.2056e-01 -1.0688e-01 +1.1931e-01 -1.6540e+00 -3.0371e+00 -3.8441e+00 +2.0114e+00 +1.0745e+00 -8.7250e-02 +3.6467e+00 +2.9094e+00 -1.2538e-01 -3.9130e+00 +2.3742e+00 +1.3822e+00
