% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
265652 +3.211886816e-04 +3.211886816e-04 +7.766032119e+01 +7.766000000e+01 +2.3973e+00 -8.5569e-01 +1.2719e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.774033223e+02 +4.774033223e+02 +5.930833223e+02 +1.156800000e+02 +4.2158e+00 -1.9590e+00 -2.3971e-01
198 +1.649681843e+01 +1.649681843e+01 +1.321768184e+02 +1.156800000e+02 +3.2396e-01 -1.4465e+00 +1.8585e-01
296 +1.113984053e+01 +1.113984053e+01 +1.268198405e+02 +1.156800000e+02 +1.0893e+00 -4.4409e-01 +1.8585e-01
391 +9.875902888e+00 +9.875902888e+00 +1.255559029e+02 +1.156800000e+02 +2.0549e+00 -4.4409e-01 +1.8585e-01
868 +5.042835223e+00 +5.042835223e+00 +1.207228352e+02 +1.156800000e+02 +2.2713e+00 -9.8042e-01 -4.4421e-01
1064 +2.962915870e+00 +2.962915870e+00 +1.186429159e+02 +1.156800000e+02 +2.2713e+00 -9.8042e-01 -4.6100e-02
1546 +2.148471272e+00 +2.148471272e+00 +1.178284713e+02 +1.156800000e+02 +2.2713e+00 -9.8042e-01 +2.7770e-01
7511 +1.394331769e+00 +1.394331769e+00 +1.170743318e+02 +1.156800000e+02 +1.2079e+00 -9.6922e-01 +2.4243e-01
11282 +4.386080860e-01 +4.386080860e-01 +1.161186081e+02 +1.156800000e+02 +2.1375e+00 -9.8042e-01 +2.3987e-01
11469 +6.008336211e-02 +6.008336211e-02 +1.157400834e+02 +1.156800000e+02 +2.1780e+00 -9.8042e-01 +2.3987e-01
20676 +1.178206874e-02 +1.178206874e-02 +1.156917821e+02 +1.156800000e+02 +2.1780e+00 -9.8424e-01 +2.4234e-01
26755 +9.595543795e-03 +9.595543795e-03 +1.156895955e+02 +1.156800000e+02 +2.1780e+00 -9.8042e-01 +2.4315e-01
40349 +5.963833240e-03 +5.963833240e-03 +1.156859638e+02 +1.156800000e+02 +2.1780e+00 -9.8424e-01 +2.4315e-01
59077 +1.774800945e-03 +1.774800945e-03 +1.156817748e+02 +1.156800000e+02 +2.1780e+00 -9.8424e-01 +2.4402e-01
77674 +1.373710978e-03 +1.373710978e-03 +1.156813737e+02 +1.156800000e+02 +2.1782e+00 -9.8381e-01 +2.4402e-01
83888 +9.344694696e-04 +9.344694696e-04 +1.156809345e+02 +1.156800000e+02 +2.1782e+00 -9.8381e-01 +2.4426e-01
150211 +5.014127332e-05 +5.014127332e-05 +1.156800501e+02 +1.156800000e+02 +2.1782e+00 -9.8347e-01 +2.4475e-01
161261 +2.779401423e-05 +2.779401423e-05 +1.156800278e+02 +1.156800000e+02 +2.1782e+00 -9.8336e-01 +2.4475e-01
172814 +2.159904287e-05 +2.159904287e-05 +1.156800216e+02 +1.156800000e+02 +2.1784e+00 -9.8336e-01 +2.4475e-01
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.139207722e+01 +6.139207722e+01 +5.768207722e+01 -3.710000000e+00 -1.5728e+00 -1.3898e+00 +1.4881e+00
